customer_id,plan_tier,region,mrr,api_usage_calls,support_tickets,discount_pct,payment_delays_days,churn_flag,revenue_leakage_flag
CUST-5000,Pro,APAC,29,5650,10,0.0,25,0,0
CUST-5001,Pro,APAC,29,10342,8,0.1,36,1,0
CUST-5002,Basic,EMEA,29,7065,3,0.0,43,0,0
CUST-5003,Basic,NAM,499,26261,14,0.5,1,0,1
CUST-5004,Pro,NAM,29,23525,10,0.0,36,0,0
CUST-5005,Pro,EMEA,29,43447,14,0.2,5,1,0
CUST-5006,Basic,NAM,99,41806,4,0.1,26,0,0
CUST-5007,Enterprise,EMEA,29,26669,3,0.0,35,0,0
CUST-5008,Pro,EMEA,99,29679,4,0.1,32,0,0
CUST-5009,Basic,NAM,29,9045,9,0.0,33,0,0
CUST-5010,Pro,APAC,29,17598,7,0.1,9,0,0
CUST-5011,Basic,APAC,29,30595,14,0.0,44,0,0
CUST-5012,Basic,EMEA,29,20059,2,0.0,30,1,0
CUST-5013,Pro,NAM,29,26392,0,0.5,7,0,1
CUST-5014,Enterprise,APAC,99,3296,3,0.0,40,1,0
CUST-5015,Basic,APAC,29,25489,2,0.5,8,0,1
CUST-5016,Basic,EMEA,29,17387,5,0.1,29,0,0
CUST-5017,Pro,NAM,499,37085,2,0.0,17,0,0
CUST-5018,Pro,EMEA,99,8590,1,0.5,4,0,1
CUST-5019,Basic,APAC,499,11048,9,0.2,18,1,0
CUST-5020,Pro,NAM,99,19273,2,0.0,5,0,0
CUST-5021,Pro,EMEA,499,16245,9,0.1,14,1,0
CUST-5022,Basic,EMEA,99,30033,0,0.2,21,1,0
CUST-5023,Basic,APAC,99,33506,13,0.5,27,0,1
CUST-5024,Basic,APAC,499,25509,9,0.0,28,1,0
CUST-5025,Enterprise,EMEA,99,35598,14,0.5,1,0,1
CUST-5026,Pro,EMEA,29,45058,2,0.5,27,0,1
CUST-5027,Pro,EMEA,29,40385,7,0.0,13,0,0
CUST-5028,Pro,NAM,29,40110,13,0.5,17,0,1
CUST-5029,Pro,APAC,29,20025,0,0.2,8,0,0
CUST-5030,Enterprise,EMEA,99,25829,8,0.1,38,0,0
CUST-5031,Pro,EMEA,99,43032,6,0.0,12,1,0
CUST-5032,Basic,APAC,99,20484,6,0.5,26,0,1
CUST-5033,Basic,APAC,499,36192,9,0.2,1,0,0
CUST-5034,Enterprise,APAC,99,46295,9,0.5,35,1,1
CUST-5035,Basic,APAC,99,35582,6,0.2,44,0,0
CUST-5036,Enterprise,EMEA,29,7500,14,0.0,35,0,0
CUST-5037,Pro,EMEA,499,38306,5,0.0,40,0,0
CUST-5038,Pro,NAM,29,29793,10,0.5,34,0,1
CUST-5039,Enterprise,EMEA,29,7455,10,0.5,9,0,1
CUST-5040,Basic,EMEA,99,29652,9,0.5,2,0,1
CUST-5041,Basic,EMEA,499,37130,2,0.0,27,0,0
CUST-5042,Pro,NAM,99,1532,14,0.2,8,0,0
CUST-5043,Enterprise,APAC,499,35754,8,0.0,15,0,0
CUST-5044,Basic,APAC,99,11154,2,0.0,5,0,0
CUST-5045,Basic,EMEA,99,6169,13,0.0,3,1,0
CUST-5046,Pro,NAM,99,44588,10,0.2,22,0,0
CUST-5047,Basic,NAM,99,33045,7,0.5,2,0,1
CUST-5048,Pro,EMEA,99,28898,6,0.0,28,0,0
CUST-5049,Basic,APAC,29,43981,5,0.5,20,0,1
CUST-5050,Pro,EMEA,499,27688,4,0.5,43,0,1
